During the period of falling in love each time that we met and especially when we had not met for a long time,1,0,0,0,0,0,0
When I was involved in a traffic accident,0,1,0,0,0,0,0
When I was driving home after  several days of hard work there was a motorist ahead of me who was driving at kmhour and refused despite his low speeed to let me overtake,0,0,1,0,0,0,0
When I lost the person who meant the most to me,0,0,0,1,0,0,0
The time I knocked a deer down  the sight of the animals injuries and helplessness  The realization that the animal was so badly hurt that it had to be put down and when the animal screamed at the moment of death,0,0,0,0,1,0,0
When I did not speak the truth,0,0,0,0,0,1,0
When I caused problems for somebody because he could not keep the appointed time and this led to various consequences,0,0,0,0,0,0,1
When I got a letter offering me the Summer job that I had applied for,1,0,0,0,0,0,0
When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night,0,1,0,0,0,0,0
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left,0,0,1,0,0,0,0
When my friends did not ask me to go to a New Years party with them,0,0,0,1,0,0,0
When I saw all the very drunk kids 4 years old in town on Walpurgis night,0,0,0,0,1,0,0
When I could not remember what to say about a presentation task at an accounts meeting,0,0,0,0,0,1,0
When my uncle and my neighbour came home under police escort,0,0,0,0,0,0,1
On days when I feel close to my partner and other friends  When I feel at peace with myself and also experience a close contact with people whom I regard greatly,1,0,0,0,0,0,0
Every time I imagine that someone I love or I could contact a serious illness even death,0,1,0,0,0,0,0
When I had been obviously unjustly treated and had no possibility of elucidating this,0,0,1,0,0,0,0
When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time,0,0,0,1,0,0,0
At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating,0,0,0,0,1,0,0
When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings,0,0,0,0,0,1,0
I feel guilty when when I realize that I consider material things more important than caring for my relatives  I feel very selfcentered,0,0,0,0,0,0,1
After my girlfriend had taken her exam we went to her parents place,1,0,0,0,0,0,0
When for the first time I realized the meaning of death,0,1,0,0,0,0,0
When a car is overtaking another and I am forced to drive off the road,0,0,1,0,0,0,0
When I recently thought about the hard work it takes to study and  how one wants to try something else  When I read a theoretical book in English that I did not understand,0,0,0,1,0,0,0
When I found a bristle in the liver paste tube,0,0,0,0,1,0,0
When I was tired and unmotivated I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important,0,0,0,0,0,1,0
When I think that I do not study enough  After the weekend I think that I should have been able to have accomplished something during that time,0,0,0,0,0,0,1
When I pass an examination which I did not think I did well,1,0,0,0,0,0,0
When one has arranged to meet someone and that person arrives late in the meantime one starts thinking about all that could have gone wrong eg a traffic accident,0,1,0,0,0,0,0
When one is unjustly accused of something one has not done,0,0,1,0,0,0,0
When ones studies seem hopelessly difficult and uninteresting,0,0,0,1,0,0,0
When one finds out that someone you know is not at all like one had thought for instance friends who steal and things like that quite unwarranted,0,0,0,0,1,0,0
When one has been unjust stupid towards someone else,0,0,0,0,0,1,0
When one has neglected or been unjust to a good friend,0,0,0,0,0,0,1
Passing an exam I did not expect to pass,1,0,0,0,0,0,0
When I climbed up a tree to pick apples  The angle of the ladder I was on did not enable me to get high enough  This implied that the ladder was not very stable,0,1,0,0,0,0,0
Friends who torture animals,0,0,1,0,0,0,0
Same as in anger,0,0,0,1,0,0,0
Friends who torture animals,0,0,0,0,1,0,0
Same as above  friends who torture animals,0,0,0,0,0,1,0
When excuses are necessary and I get out of doing it myself,0,0,0,0,0,0,1
When I had my children,1,0,0,0,0,0,0
When my  year old son climbed up and sat on the 7th floor balcony with his legs hanging out  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down,0,1,0,0,0,0,0
When my partner was attacked and lost three teeth,0,0,1,0,0,0,0
When I see children on TV from areas devastated by drought and war,0,0,0,1,0,0,0
When I nearly walked on a blindworm and then saw it crawl away,0,0,0,0,1,0,0
When I saw my 8 year old son grab an oxygen mask as he had breathing difficulties  I had a bad conscience because I had not stopped smoking  Medication for the dilation of his breathing tubes also caused a sense of guilt in me,0,0,0,0,0,1,0
I experience a sense of guilt as my middle son cannot express himself like other children neither verbally nor in writing,0,0,0,0,0,0,1
When my child was born,1,0,0,0,0,0,0
It was winterspring and the ice was melting  I was far out on a jetty and I poked the ice with a long branch to try and break it  The branch went through the ice and I fell in the water closed in over my head,0,1,0,0,0,0,0
Unjust accusations directed at me and my way of acting by someone close to me,0,0,1,0,0,0,0
Failing an examination,0,0,0,1,0,0,0
A drunkard fell started bleeding and wet himself  Disgust that turned into sadnessunpleasantness,0,0,0,0,1,0,0
When as an adult I have been caught lying or behaving badly,0,0,0,0,0,1,0
When I am in an environment or with a person much worse off than me I realize how privileged I am,0,0,0,0,0,0,1
When I saw a person I had not seen for a long time,1,0,0,0,0,0,0
When as a child I was nearly knocked down by a car,0,1,0,0,0,0,0
When I heard on the radio that the football match in Belgium had ended in a catastrophe and several people had died  I could not  understand how normal people could behave in such a way,0,0,1,0,0,0,0
When I feel lonely perhaps because I have to study a lot and I am shut up in my appartment  Nothing happens in particular because there is no time for anything else,0,0,0,1,0,0,0
When one learns through the mass media all the wars and killing going on in the world,0,0,0,0,1,0,0
I lied to be precise I cancelled a meeting with a good friend,0,0,0,0,0,1,0
When one lets friends down,0,0,0,0,0,0,1
When I was accepted for a course on finance and accounting,1,0,0,0,0,0,0
A bus drove over my right leg  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell I was frightened,0,1,0,0,0,0,0
At my Summer job nobody looked after me in particular and I had to learn all on my own,0,0,1,0,0,0,0
When I was not accepted as a student in finance and accounting,0,0,0,1,0,0,0
When I had just moved into my new appartment I found a ventilator in the kitchen  I was going to clean it when I found that the drum was full of mud and slime  I felt disgusted,0,0,0,0,1,0,0
My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays,0,0,0,0,0,1,0
At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him,0,0,0,0,0,0,1
Passed an exam by  points,1,0,0,0,0,0,0
In a cottage in a large forest I was alone for a while in the dark,0,1,0,0,0,0,0
When I spoke to JanErik Wikstr¡Âm on the telephone,0,0,1,0,0,0,0
Railway station goodbye,0,0,0,1,0,0,0
I saw a cripple in rags with small children in Italy  He was probably an imposter,0,0,0,0,1,0,0
I told a friend that I was going to a party and he would not enjoy himself if he came along  He understood  that he would not have fitted in and there was something in that,0,0,0,0,0,1,0
I was the reason behind the breakup of my friends relationship with his girlfriend  She finished with him,0,0,0,0,0,0,1
I passed an exam that I was absolutely certain that I had failed,1,0,0,0,0,0,0
On the way back from Denmark with a friend on a small yatch there was a storm and my friend was blown overboard  I was very scared till I managed to get him back onboard,0,1,0,0,0,0,0
I locked myself out,0,0,1,0,0,0,0
I missed the last tram home and had to walk in the pouring rain,0,0,0,1,0,0,0
I found some worms in the food and I had obviously eaten some,0,0,0,0,1,0,0
My friend was so intoxicated that the police came and took him away and they later contacted his parents,0,0,0,0,0,1,0
I hapened to overhear something which I was not meant to hear,0,0,0,0,0,0,1
When I won a trip to Greece in a competition,1,0,0,0,0,0,0
When I am out in the dark and a suspicious looking character comes towards me,0,1,0,0,0,0,0
At work when an elderly man complained unjustifiably about me and distrusted me,0,0,1,0,0,0,0
When I had not understood anything after a lecture,0,0,0,1,0,0,0
When an alcoholic stood dribbling over a food counter,0,0,0,0,1,0,0
When my friend and I were discussing the good looks of a guy we realized that he had been listening,0,0,0,0,0,1,0
When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her,0,0,0,0,0,0,1
At a friends birthday party with some of my closest friends  It was all very pleasant and one could say that I was happy to have such good friends,1,0,0,0,0,0,0
On the way home one Friday night in the heavy rain the car acquaplanned  I lost contact with the road surface for a few seconds,0,1,0,0,0,0,0
Mad at my dad,0,0,1,0,0,0,0
A case of unrequited love,0,0,0,1,0,0,0
A bad smelling cucumber,0,0,0,0,1,0,0
Nearly caught masturbating,0,0,0,0,0,1,0
I do not help out enough at home,0,0,0,0,0,0,1
I felt very happy when I won the football pools,1,0,0,0,0,0,0
When I flew from Athens to Copenhagen after a holiday  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash,0,1,0,0,0,0,0
